id	sample	pdf	stem	hancomVersion	variant	sourceFormat	oracleRoot	family
samples/chart/원형/원형대가로막대형.hwp::pdf/chart/원형/원형대가로막대형-hwp-2020.pdf	samples/chart/원형/원형대가로막대형.hwp	pdf/chart/원형/원형대가로막대형-hwp-2020.pdf	원형대가로막대형	2020	hwp-2020	hwp	pdf	dir:chart
samples/chart/원형/원형대가로막대형.hwpx::pdf/chart/원형/원형대가로막대형-2022.pdf	samples/chart/원형/원형대가로막대형.hwpx	pdf/chart/원형/원형대가로막대형-2022.pdf	원형대가로막대형	2022	2022	hwpx	pdf	dir:chart
samples/chart/원형/원형대가로막대형.hwpx::pdf/chart/원형/원형대가로막대형-hwpx-2020.pdf	samples/chart/원형/원형대가로막대형.hwpx	pdf/chart/원형/원형대가로막대형-hwpx-2020.pdf	원형대가로막대형	2020	hwpx-2020	hwpx	pdf	dir:chart
samples/chart/원형/원형대원형.hwp::pdf/chart/원형/원형대원형-2022.pdf	samples/chart/원형/원형대원형.hwp	pdf/chart/원형/원형대원형-2022.pdf	원형대원형	2022	2022	hwp	pdf	dir:chart
samples/chart/원형/원형대원형.hwp::pdf/chart/원형/원형대원형-hwp-2020.pdf	samples/chart/원형/원형대원형.hwp	pdf/chart/원형/원형대원형-hwp-2020.pdf	원형대원형	2020	hwp-2020	hwp	pdf	dir:chart
samples/chart/원형/원형대원형.hwpx::pdf/chart/원형/원형대원형-2022.pdf	samples/chart/원형/원형대원형.hwpx	pdf/chart/원형/원형대원형-2022.pdf	원형대원형	2022	2022	hwpx	pdf	dir:chart
samples/chart/원형/원형대원형.hwpx::pdf/chart/원형/원형대원형-hwpx-2020.pdf	samples/chart/원형/원형대원형.hwpx	pdf/chart/원형/원형대원형-hwpx-2020.pdf	원형대원형	2020	hwpx-2020	hwpx	pdf	dir:chart
samples/chart/원형/쪼개진원형.hwp::pdf/chart/원형/쪼개진원형-2022.pdf	samples/chart/원형/쪼개진원형.hwp	pdf/chart/원형/쪼개진원형-2022.pdf	쪼개진원형	2022	2022	hwp	pdf	dir:chart
samples/chart/원형/쪼개진원형.hwp::pdf/chart/원형/쪼개진원형-hwp-2020.pdf	samples/chart/원형/쪼개진원형.hwp	pdf/chart/원형/쪼개진원형-hwp-2020.pdf	쪼개진원형	2020	hwp-2020	hwp	pdf	dir:chart
samples/chart/원형/쪼개진원형.hwpx::pdf/chart/원형/쪼개진원형-2022.pdf	samples/chart/원형/쪼개진원형.hwpx	pdf/chart/원형/쪼개진원형-2022.pdf	쪼개진원형	2022	2022	hwpx	pdf	dir:chart
